traffic_type,ts,src_ip,src_port,dst_ip,dst_port,label,kali_source,dur,spkts,dpkts,sbytes,dbytes,rate,sload,dload,smean,dmean,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_sm_ips_ports,proto,service,state
dns_brust,1787882938.048328,192.168.10.30,43208,192.168.10.20,53,1,1,0.000304,1,1,76,80,6578.9473684210525,2000000.0,2105263.1578947366,76.0,80.0,34,34,34,34,34,1,34,0,udp,dns,FIN
dns_brust,1787882938.058419,192.168.10.30,48015,192.168.10.20,53,1,1,0.000297,1,1,76,80,6734.0067340067335,2047138.0471380472,2154882.154882155,76.0,80.0,35,35,35,35,35,1,35,0,udp,dns,FIN
dns_brust,1787882938.067943,192.168.10.30,38128,192.168.10.20,53,1,1,0.000321,1,1,76,80,6230.529595015576,1894080.9968847353,1993769.4704049844,76.0,80.0,36,36,36,36,36,1,36,0,udp,dns,FIN
dns_brust,1787882938.078113,192.168.10.30,34393,192.168.10.20,53,1,1,0.000299,1,1,76,80,6688.963210702341,2033444.8160535116,2140468.227424749,76.0,80.0,37,37,37,37,37,1,37,0,udp,dns,FIN
dns_brust,1787882938.088321,192.168.10.30,42730,192.168.10.20,53,1,1,0.000357,1,1,76,80,5602.240896358543,1703081.232492997,1792717.0868347338,76.0,80.0,38,38,38,38,38,1,38,0,udp,dns,FIN
dns_brust,1787882938.098343,192.168.10.30,41988,192.168.10.20,53,1,1,0.001403,1,1,76,80,1425.5167498218104,433357.0919458304,456165.35994297935,76.0,80.0,39,39,39,39,39,1,39,0,udp,dns,FIN
dns_brust,1787882938.109947,192.168.10.30,56052,192.168.10.20,53,1,1,0.000311,1,1,76,80,6430.868167202572,1954983.922829582,2057877.813504823,76.0,80.0,40,40,40,40,40,1,40,0,udp,dns,FIN
dns_brust,1787882938.121048,192.168.10.30,58607,192.168.10.20,53,1,1,0.000266,1,1,76,80,7518.796992481202,2285714.2857142854,2406015.037593985,76.0,80.0,41,41,41,41,41,1,41,0,udp,dns,FIN
dns_brust,1787882938.130744,192.168.10.30,55760,192.168.10.20,53,1,1,0.000286,1,1,76,80,6993.006993006993,2125874.125874126,2237762.2377622374,76.0,80.0,42,42,42,42,42,1,42,0,udp,dns,FIN
dns_brust,1787882938.140706,192.168.10.30,33717,192.168.10.20,53,1,1,0.000303,1,1,76,80,6600.660066006601,2006600.6600660067,2112211.221122112,76.0,80.0,43,43,43,43,43,1,43,0,udp,dns,FIN
dns_brust,1787882938.150895,192.168.10.30,47381,192.168.10.20,53,1,1,0.000298,1,1,76,80,6711.4093959731545,2040268.456375839,2147651.0067114094,76.0,80.0,44,44,44,44,44,1,44,0,udp,dns,FIN
dns_brust,1787882938.160873,192.168.10.30,47852,192.168.10.20,53,1,1,0.000285,1,1,76,80,7017.543859649123,2133333.3333333335,2245614.0350877196,76.0,80.0,45,45,45,45,45,1,45,0,udp,dns,FIN
dns_brust,1787882938.171108,192.168.10.30,44381,192.168.10.20,53,1,1,0.000295,1,1,76,80,6779.661016949152,2061016.9491525423,2169491.525423729,76.0,80.0,46,46,46,46,46,1,46,0,udp,dns,FIN
dns_brust,1787882938.181085,192.168.10.30,60406,192.168.10.20,53,1,1,0.000834,1,1,76,80,2398.0815347721823,729016.7865707434,767386.0911270983,76.0,80.0,47,47,47,47,47,1,47,0,udp,dns,FIN
dns_brust,1787882938.191692,192.168.10.30,54642,192.168.10.20,53,1,1,0.000305,1,1,76,80,6557.377049180328,1993442.6229508198,2098360.655737705,76.0,80.0,48,48,48,48,48,1,48,0,udp,dns,FIN
dns_brust,1787882938.20175,192.168.10.30,36752,192.168.10.20,53,1,1,0.0005,1,1,76,80,4000.0,1216000.0,1280000.0,76.0,80.0,49,49,49,49,49,1,49,0,udp,dns,FIN
dns_brust,1787882938.211863,192.168.10.30,54155,192.168.10.20,53,1,1,0.000628,1,1,76,80,3184.7133757961783,968152.8662420382,1019108.280254777,76.0,80.0,50,50,50,50,50,1,50,0,udp,dns,FIN
dns_brust,1787882938.222368,192.168.10.30,57341,192.168.10.20,53,1,1,0.000306,1,1,76,80,6535.9477124183,1986928.1045751632,2091503.267973856,76.0,80.0,51,51,51,51,51,1,51,0,udp,dns,FIN
dns_brust,1787882938.232453,192.168.10.30,42972,192.168.10.20,53,1,1,0.000302,1,1,76,80,6622.51655629139,2013245.0331125825,2119205.2980132448,76.0,80.0,52,52,52,52,52,1,52,0,udp,dns,FIN
dns_brust,1787882938.242161,192.168.10.30,50224,192.168.10.20,53,1,1,0.000326,1,1,76,80,6134.9693251533745,1865030.6748466257,1963190.1840490797,76.0,80.0,53,53,53,53,53,1,53,0,udp,dns,FIN
dns_brust,1787882938.252479,192.168.10.30,33846,192.168.10.20,53,1,1,0.562588,2,2,152,160,7.109998791300206,2161.4396325552625,2275.1996132160657,76.0,80.0,54,54,54,54,54,1,54,0,udp,dns,FIN
dns_brust,1787882938.262229,192.168.10.30,37705,192.168.10.20,53,1,1,0.000304,1,1,76,80,6578.9473684210525,2000000.0,2105263.1578947366,76.0,80.0,55,55,55,55,55,1,55,0,udp,dns,FIN
dns_brust,1787882938.271808,192.168.10.30,47290,192.168.10.20,53,1,1,0.000309,1,1,76,80,6472.491909385114,1967637.5404530745,2071197.4110032364,76.0,80.0,56,56,56,56,56,1,56,0,udp,dns,FIN
dns_brust,1787882938.282062,192.168.10.30,45241,192.168.10.20,53,1,1,0.000361,1,1,76,80,5540.16620498615,1684210.5263157894,1772853.1855955678,76.0,80.0,57,57,57,57,57,1,57,0,udp,dns,FIN
dns_brust,1787882938.292333,192.168.10.30,53645,192.168.10.20,53,1,1,0.000461,1,1,76,80,4338.394793926247,1318872.0173535792,1388286.334056399,76.0,80.0,58,58,58,58,58,1,58,0,udp,dns,FIN
dns_brust,1787882938.301998,192.168.10.30,44343,192.168.10.20,53,1,1,0.000297,1,1,76,80,6734.0067340067335,2047138.0471380472,2154882.154882155,76.0,80.0,59,59,59,59,59,1,59,0,udp,dns,FIN
dns_brust,1787882938.312285,192.168.10.30,51562,192.168.10.20,53,1,1,0.000225,1,1,76,80,8888.888888888889,2702222.2222222225,2844444.4444444445,76.0,80.0,60,60,60,60,60,1,60,0,udp,dns,FIN
dns_brust,1787882938.322512,192.168.10.30,59806,192.168.10.20,53,1,1,0.000599,1,1,76,80,3338.89816360601,1015025.041736227,1068447.412353923,76.0,80.0,61,61,61,61,61,1,61,0,udp,dns,FIN
dns_brust,1787882938.332609,192.168.10.30,55447,192.168.10.20,53,1,1,0.000483,1,1,76,80,4140.786749482402,1258799.1718426503,1325051.7598343685,76.0,80.0,62,62,62,62,62,1,62,0,udp,dns,FIN
dns_brust,1787882938.342583,192.168.10.30,47740,192.168.10.20,53,1,1,0.000365,1,1,76,80,5479.452054794521,1665753.4246575343,1753424.6575342466,76.0,80.0,63,63,63,63,63,1,63,0,udp,dns,FIN
dns_brust,1787882938.353523,192.168.10.30,39905,192.168.10.20,53,1,1,0.000458,1,1,76,80,4366.812227074236,1327510.9170305675,1397379.9126637555,76.0,80.0,64,64,64,64,64,1,64,0,udp,dns,FIN
dns_brust,1787882938.363925,192.168.10.30,33186,192.168.10.20,53,1,1,0.000434,1,1,76,80,4608.294930875576,1400921.6589861752,1474654.3778801844,76.0,80.0,65,65,65,65,65,1,65,0,udp,dns,FIN
dns_brust,1787882938.374369,192.168.10.30,50563,192.168.10.20,53,1,1,0.000275,1,1,76,80,7272.727272727272,2210909.090909091,2327272.727272727,76.0,80.0,66,66,66,66,66,1,66,0,udp,dns,FIN
